user,time,x,y,z
2,2024-10-22 00:00:00,-0.03127,0.025278,0.099094
2,2024-10-22 00:01:00,-0.035427,0.032818,0.081964
2,2024-10-22 00:02:00,-0.044703,0.041629,0.017794
2,2024-10-22 00:03:00,-0.076723,-0.017688,-0.038969
2,2024-10-22 00:04:00,-0.107456,0.015495,-0.052045
2,2024-10-22 00:05:00,-0.150092,0.031593,-0.044886
2,2024-10-22 00:06:00,-0.168305,0.022039,-0.037523
2,2024-10-22 00:07:00,-0.178782,0.075297,-0.026983
2,2024-10-22 00:08:00,-0.209755,0.105084,0.010151
2,2024-10-22 00:09:00,-0.114862,0.106823,0.025766
2,2024-10-22 00:10:00,-0.122392,0.078146,0.010795
2,2024-10-22 00:11:00,-0.143734,0.045325,-0.021358
2,2024-10-22 00:12:00,-0.133041,0.048492,-0.023424
2,2024-10-22 00:13:00,-0.13096,0.05056,-0.009525
2,2024-10-22 00:14:00,-0.128836,0.060093,0.002228
2,2024-10-22 00:15:00,-0.127846,0.045167,0.00439
2,2024-10-22 00:16:00,-0.112968,0.031271,0.003444
2,2024-10-22 00:17:00,-0.092649,0.037609,-0.000695
2,2024-10-22 00:18:00,-0.074493,0.037562,-0.004841
2,2024-10-22 00:19:00,-0.060605,0.042836,-0.003683
2,2024-10-22 00:20:00,-0.057428,0.043864,0.002747
2,2024-10-22 00:21:00,-0.052228,0.022506,0.011357
2,2024-10-22 00:22:00,-0.034188,7.7e-05,0.010443
2,2024-10-22 00:23:00,-0.029882,0.003279,0.005128
2,2024-10-22 00:24:00,-0.018074,0.014973,0.000923
2,2024-10-22 00:25:00,-0.021198,0.033089,0.001946
2,2024-10-22 00:26:00,-0.051022,0.035358,-0.006811
2,2024-10-22 00:27:00,-0.059485,0.036513,-0.021827
2,2024-10-22 00:28:00,-0.043382,0.053523,-0.027077
2,2024-10-22 00:29:00,-0.007075,0.062975,-0.024699
2,2024-10-22 00:30:00,0.026003,0.068168,-0.020202
2,2024-10-22 00:31:00,0.049593,0.080925,-0.03394
2,2024-10-22 00:32:00,0.065802,0.11076,-0.049889
2,2024-10-22 00:33:00,0.051029,0.131116,-0.066041
2,2024-10-22 00:34:00,0.02455,0.158966,-0.081217
2,2024-10-22 00:35:00,9.3e-05,0.157002,-0.101682
2,2024-10-22 00:36:00,-0.023397,0.147518,-0.107175
2,2024-10-22 00:37:00,-0.052217,0.139118,-0.112706
2,2024-10-22 00:38:00,-0.067114,0.139204,-0.121356
2,2024-10-22 00:39:00,-0.06277,0.150929,-0.126682
2,2024-10-22 00:40:00,-0.043615,0.145514,-0.1212
2,2024-10-22 00:41:00,-0.016034,0.1283,-0.102826
2,2024-10-22 00:42:00,0.000853,0.117469,-0.072784
2,2024-10-22 00:43:00,-0.00474,0.091793,-0.040743
2,2024-10-22 00:44:00,0.009062,0.092746,-0.024625
2,2024-10-22 00:45:00,0.00713,0.114153,-0.048166
2,2024-10-22 00:46:00,0.000944,0.143014,-0.067475
2,2024-10-22 00:47:00,0.015981,0.174881,-0.057796
2,2024-10-22 00:48:00,0.027568,0.181074,-0.018199
2,2024-10-22 00:49:00,0.029184,0.112702,0.028901
2,2024-10-22 00:50:00,0.007612,0.071189,0.039486
2,2024-10-22 00:51:00,0.032317,0.104143,0.035344
2,2024-10-22 00:52:00,0.032797,0.163986,-0.011731
2,2024-10-22 00:53:00,0.009494,0.176949,-0.03648
2,2024-10-22 00:54:00,-0.00649,0.163229,-0.054734
2,2024-10-22 00:55:00,-0.007667,0.144037,-0.049376
2,2024-10-22 00:56:00,-0.002405,0.156686,-0.020514
2,2024-10-22 00:57:00,-0.000324,0.15451,-0.010882
2,2024-10-22 00:58:00,-0.003539,0.13541,-0.026904
2,2024-10-22 00:59:00,-0.001333,0.136527,-0.041845
2,2024-10-22 01:00:00,0.045753,0.171504,-0.038356
2,2024-10-22 01:01:00,0.088604,0.217136,-0.031706
2,2024-10-22 01:02:00,0.101469,0.24155,-0.020965
2,2024-10-22 01:03:00,0.095039,0.241547,-0.014601
2,2024-10-22 01:04:00,0.091767,0.229823,-0.010336
2,2024-10-22 01:05:00,0.090671,0.234045,0.000333
2,2024-10-22 01:06:00,0.08228,0.268155,0.002368
2,2024-10-22 01:07:00,0.075884,0.273486,0.006589
2,2024-10-22 01:08:00,0.081117,0.251097,0.006654
2,2024-10-22 01:09:00,0.076859,0.246877,0.000221
2,2024-10-22 01:10:00,0.077945,0.24689,-0.004045
2,2024-10-22 01:11:00,0.069415,0.239497,-0.012641
2,2024-10-22 01:12:00,0.054316,0.199086,-0.016967
2,2024-10-22 01:13:00,0.018789,0.14163,-0.003255
2,2024-10-22 01:14:00,-0.008266,0.073478,0.013735
2,2024-10-22 01:15:00,-0.028772,0.035144,0.027528
2,2024-10-22 01:16:00,-0.025509,0.050042,0.0286
2,2024-10-22 01:17:00,-0.013529,0.086292,0.010477
2,2024-10-22 01:18:00,0.009,0.095874,-0.007538
2,2024-10-22 01:19:00,0.015387,0.083107,-0.017091
2,2024-10-22 01:20:00,0.024974,0.069267,-0.027688
2,2024-10-22 01:21:00,0.032385,0.063885,-0.020152
2,2024-10-22 01:22:00,0.038747,0.072317,-0.003027
2,2024-10-22 01:23:00,0.0398,0.08291,0.010854
2,2024-10-22 01:24:00,0.036628,0.091435,0.012957
2,2024-10-22 01:25:00,0.02816,0.09789,0.004344
2,2024-10-22 01:26:00,0.022797,0.079846,-0.007421
2,2024-10-22 01:27:00,0.011057,0.070334,-0.016036
2,2024-10-22 01:28:00,0.003584,0.070356,-0.01502
2,2024-10-22 01:29:00,0.00034,0.065024,-0.010763
2,2024-10-22 01:30:00,-0.000789,0.05224,-0.009686
2,2024-10-22 01:31:00,-0.001904,0.039469,-0.011814
2,2024-10-22 01:32:00,0.00555,0.040491,-0.007491
2,2024-10-22 01:33:00,0.011985,0.054292,-0.001054
2,2024-10-22 01:34:00,0.010942,0.060683,-1e-06
2,2024-10-22 01:35:00,0.004593,0.06924,-0.003261
