,user,time,x,y,z
83,1,2024-10-22 01:23:00,0.013219,0.037461,-0.055503
84,1,2024-10-22 01:24:00,0.006813,0.041723,-0.050212
85,1,2024-10-22 01:25:00,0.004617,0.044858,-0.03314
86,1,2024-10-22 01:26:00,0.00556,0.036256,-0.013895
87,1,2024-10-22 01:27:00,0.006502,0.028714,0.006418
88,1,2024-10-22 01:28:00,0.00644,0.025476,0.017104
89,1,2024-10-22 01:29:00,0.006425,0.029707,0.024576
90,1,2024-10-22 01:30:00,0.001158,0.039334,0.019186
91,1,2024-10-22 01:31:00,-0.001942,0.048984,0.006333
92,1,2024-10-22 01:32:00,0.004512,0.051131,-0.003239
93,1,2024-10-22 01:33:00,-0.000913,0.04258,0.008485
94,1,2024-10-22 01:34:00,-0.017998,0.044749,0.013704
95,1,2024-10-22 01:35:00,-0.016902,0.050076,0.012636
96,1,2024-10-22 01:36:00,-0.008343,0.046884,0.004155
97,1,2024-10-22 01:37:00,0.000144,0.036202,0.004228
98,1,2024-10-22 01:38:00,0.001196,0.038307,0.009573
99,1,2024-10-22 01:39:00,0.006555,0.047859,0.013871
100,1,2024-10-22 01:40:00,0.012898,0.045664,0.024601
101,1,2024-10-22 01:41:00,0.012874,0.038215,0.022474
102,1,2024-10-22 01:42:00,0.013984,0.037189,0.0118
103,1,2024-10-22 01:43:00,0.010827,0.043604,0.008566
104,1,2024-10-22 01:44:00,0.008731,0.048951,0.005339
105,1,2024-10-22 01:45:00,0.008775,0.055355,0.002127
106,1,2024-10-22 01:46:00,0.006732,0.064993,-0.008582
107,1,2024-10-22 01:47:00,-0.004946,0.066146,-0.020416
108,1,2024-10-22 01:48:00,0.008875,0.062872,-0.012837
109,1,2024-10-22 01:49:00,0.036614,0.077629,0.002293
110,1,2024-10-22 01:50:00,0.030121,0.084997,0.030012
111,1,2024-10-22 01:51:00,0.003459,0.102075,0.044759
112,1,2024-10-22 01:52:00,0.003479,0.088299,0.026617
113,1,2024-10-22 01:53:00,0.008808,0.05008,-0.010685
114,1,2024-10-22 01:54:00,-0.006123,0.034222,-0.02786
115,1,2024-10-22 01:55:00,-0.018921,0.042759,-0.020483
116,1,2024-10-22 01:56:00,-0.024236,0.061892,-0.00559
117,1,2024-10-22 01:57:00,-0.034972,0.059748,0.007157
118,1,2024-10-22 01:58:00,-0.044674,0.038472,0.008184
119,1,2024-10-22 01:59:00,-0.04799,0.022466,0.017796
120,1,2024-10-22 02:00:00,-0.03735,0.027708,0.029614
121,1,2024-10-22 02:01:00,-0.015003,0.02864,0.043656
122,1,2024-10-22 02:02:00,0.010554,0.024264,0.050249
123,1,2024-10-22 02:03:00,0.028705,0.024213,0.047171
124,1,2024-10-22 02:04:00,0.052219,0.029474,0.043056
125,1,2024-10-22 02:05:00,0.061878,0.035858,0.036706
126,1,2024-10-22 02:06:00,0.066222,0.043338,0.027113
127,1,2024-10-22 02:07:00,0.052396,0.041303,0.015268
128,1,2024-10-22 02:08:00,0.040661,0.0371,0.010919
129,1,2024-10-22 02:09:00,0.035307,0.031797,0.00982
130,1,2024-10-22 02:10:00,0.035336,0.04031,0.011946
131,1,2024-10-22 02:11:00,0.028959,0.043537,0.00976
132,1,2024-10-22 02:12:00,0.022591,0.04465,0.003305
133,1,2024-10-22 02:13:00,0.014085,0.043644,-0.00423
134,1,2024-10-22 02:14:00,0.005584,0.044765,-0.010701
135,1,2024-10-22 02:15:00,-0.001875,0.045861,-0.011822
136,1,2024-10-22 02:16:00,-0.009357,0.04163,-0.012937
137,1,2024-10-22 02:17:00,-0.023222,0.0385,-0.017303
138,1,2024-10-22 02:18:00,-0.034962,0.033231,-0.021651
139,1,2024-10-22 02:19:00,-0.034967,0.032166,-0.02165
140,1,2024-10-22 02:20:00,-0.034976,0.031097,-0.02058
141,1,2024-10-22 02:21:00,-0.033914,0.034272,-0.016304
142,1,2024-10-22 02:22:00,-0.026441,0.038494,-0.013053
143,1,2024-10-22 02:23:00,-0.014711,0.037388,-0.012969
144,1,2024-10-22 02:24:00,-0.000842,0.036278,-0.013939
145,1,2024-10-22 02:25:00,0.009846,0.036258,-0.018137
146,1,2024-10-22 02:26:00,0.01308,0.043704,-0.018124
147,1,2024-10-22 02:27:00,0.013119,0.051165,-0.019202
148,1,2024-10-22 02:28:00,0.01741,0.056476,-0.019179
149,1,2024-10-22 02:29:00,0.016238,0.046837,-0.005288
150,1,2024-10-22 02:30:00,0.010846,0.040439,0.001092
151,1,2024-10-22 02:31:00,-0.004109,0.03623,0.000993
152,1,2024-10-22 02:32:00,-0.002014,0.030883,0.004219
153,1,2024-10-22 02:33:00,0.003263,0.022325,0.00854
154,1,2024-10-22 02:34:00,0.00111,0.014889,0.00533
155,1,2024-10-22 02:35:00,-0.002105,0.008521,0.002111
156,1,2024-10-22 02:36:00,-0.006377,0.010654,0.005283
157,1,2024-10-22 02:37:00,-0.010654,0.011721,0.008456
158,1,2024-10-22 02:38:00,-0.011683,0.019186,0.007371
159,1,2024-10-22 02:39:00,-0.00631,0.025567,0.005264
160,1,2024-10-22 02:40:00,0.00333,0.032995,0.004254
161,1,2024-10-22 02:41:00,0.009779,0.039381,1.8e-05
162,1,2024-10-22 02:42:00,0.009789,0.037268,-0.004252
163,1,2024-10-22 02:43:00,0.005521,0.0341,-0.007483
164,1,2024-10-22 02:44:00,0.005512,0.03303,-0.006413
165,1,2024-10-22 02:45:00,0.006574,0.034083,-0.004271
166,1,2024-10-22 02:46:00,0.005512,0.037274,-0.002146
167,1,2024-10-22 02:47:00,0.001239,0.040468,0.002093
168,1,2024-10-22 02:48:00,0.002297,0.041517,0.005304
169,1,2024-10-22 02:49:00,0.003388,0.044717,0.003171
170,1,2024-10-22 02:50:00,0.003383,0.043652,0.003172
171,1,2024-10-22 02:51:00,-0.000832,0.049019,-0.003273
172,1,2024-10-22 02:52:00,-0.000789,0.058606,-0.003285
173,1,2024-10-22 02:53:00,-0.000885,0.045789,0.005276
174,1,2024-10-22 02:54:00,-0.000899,0.043654,0.006347
175,1,2024-10-22 02:55:00,-0.00198,0.03834,0.00421
176,1,2024-10-22 02:56:00,-0.000928,0.03514,0.004221
177,1,2024-10-22 02:57:00,-0.000933,0.036197,0.006356
178,1,2024-10-22 02:58:00,-0.001976,0.038344,0.003142
179,1,2024-10-22 02:59:00,-0.001947,0.043675,0.002067
180,1,2024-10-22 03:00:00,-0.003009,0.044744,0.002058
181,1,2024-10-22 03:01:00,-0.004076,0.047931,0.005251
182,1,2024-10-22 03:02:00,-0.007252,0.053268,0.005222
183,1,2024-10-22 03:03:00,-0.006176,0.054334,0.00416
184,1,2024-10-22 03:04:00,-0.00297,0.054327,0.003114
185,1,2024-10-22 03:05:00,-0.008329,0.05008,0.004151
186,1,2024-10-22 03:06:00,-0.005119,0.0522,0.00417
187,1,2024-10-22 03:07:00,0.001335,0.05859,-0.001134
188,1,2024-10-22 03:08:00,0.005603,0.055392,-0.004305
189,1,2024-10-22 03:09:00,0.013076,0.058553,-0.00212
190,1,2024-10-22 03:10:00,0.027988,0.057419,0.002258
191,1,2024-10-22 03:11:00,0.023658,0.051012,0.009714
192,1,2024-10-22 03:12:00,0.016166,0.048895,0.012869
193,1,2024-10-22 03:13:00,0.02471,0.048874,0.010792
194,1,2024-10-22 03:14:00,0.042833,0.042432,0.007722
195,1,2024-10-22 03:15:00,0.040646,0.030721,0.007722
196,1,2024-10-22 03:16:00,0.036403,0.024391,-0.00405
197,1,2024-10-22 03:17:00,0.031275,0.061728,-0.012679
198,1,2024-10-22 03:18:00,0.01053,-0.022442,0.008648
199,1,2024-10-22 03:19:00,-0.04224,-0.095907,0.044693
200,1,2024-10-22 03:20:00,0.449705,-1.499511,0.043519
201,1,2024-10-22 03:21:00,-0.681269,-1.414276,-0.576582
202,1,2024-10-22 03:22:00,-1.783493,-1.553908,-0.932342
203,1,2024-10-22 03:23:00,-2.431517,-1.896752,-0.947111
204,1,2024-10-22 03:24:00,-1.071566,-0.829532,-0.747768
205,1,2024-10-22 03:25:00,-0.501072,-0.257254,-1.297855
206,1,2024-10-22 03:26:00,0.419463,-1.356718,-0.207908
207,1,2024-10-22 03:27:00,1.331635,-2.085708,1.21586
208,1,2024-10-22 03:28:00,1.449989,-1.785075,1.057137
209,1,2024-10-22 03:29:00,0.843077,-0.54606,-0.836238
210,1,2024-10-22 03:30:00,0.066422,1.532511,0.047638
211,1,2024-10-22 03:31:00,-1.383644,1.873113,1.374487
212,1,2024-10-22 03:32:00,-2.632928,0.975745,0.694999
213,1,2024-10-22 03:33:00,-2.179569,3.016403,0.139007
214,1,2024-10-22 03:34:00,-3.877801,3.838411,-1.486924
215,1,2024-10-22 03:35:00,-5.062348,3.573497,-2.408188
216,1,2024-10-22 03:36:00,-3.966333,3.823447,-2.461741
217,1,2024-10-22 03:37:00,-2.329007,3.168443,-2.318074
218,1,2024-10-22 03:38:00,-1.879872,1.05454,-1.810163
219,1,2024-10-22 03:39:00,-1.072058,-0.604303,-1.127279
220,1,2024-10-22 03:40:00,-0.574736,-1.40842,-0.535253
221,1,2024-10-22 03:41:00,-1.218232,-1.07127,-0.640592
222,1,2024-10-22 03:42:00,-1.165001,-0.568751,-0.348172
223,1,2024-10-22 03:43:00,-1.152897,-0.566341,-0.428207
224,1,2024-10-22 03:44:00,-1.167336,-0.770513,-0.506026
225,1,2024-10-22 03:45:00,-1.070828,-0.608187,-0.690362
226,1,2024-10-22 03:46:00,-0.930163,-0.008622,-0.765992
227,1,2024-10-22 03:47:00,-0.856977,0.269567,-0.867318
228,1,2024-10-22 03:48:00,-0.865032,-0.148855,-0.918113
229,1,2024-10-22 03:49:00,-0.96806,-0.423838,-1.059486
230,1,2024-10-22 03:50:00,-0.660729,-0.621022,-1.032517
231,1,2024-10-22 03:51:00,-0.693897,-0.213566,-0.601709
232,1,2024-10-22 03:52:00,-0.471535,0.488447,0.004626
233,1,2024-10-22 03:53:00,0.01407,0.581342,0.062378
234,1,2024-10-22 03:54:00,0.353563,0.393843,0.303204
