user,time,x,y,z
1,2024-10-22 00:00:00,-0.640034,0.162414,-0.100819
1,2024-10-22 00:01:00,-0.482251,-0.104441,-0.103648
1,2024-10-22 00:02:00,-0.163033,-0.067159,-0.113216
1,2024-10-22 00:03:00,0.070439,0.184283,-0.058496
1,2024-10-22 00:04:00,0.078799,0.036727,0.071006
1,2024-10-22 00:05:00,-0.030385,0.046333,0.16103
1,2024-10-22 00:06:00,-0.056256,0.147933,0.083807
1,2024-10-22 00:07:00,-0.041965,0.094148,-0.064507
1,2024-10-22 00:08:00,0.047306,0.006526,-0.074453
1,2024-10-22 00:09:00,0.080024,0.020949,0.01976
1,2024-10-22 00:10:00,0.057275,0.024964,0.100781
1,2024-10-22 00:11:00,0.046448,0.036532,0.147692
1,2024-10-22 00:12:00,-0.008885,0.055952,0.134462
1,2024-10-22 00:13:00,-0.06627,0.055293,0.082788
1,2024-10-22 00:14:00,-0.073527,0.03853,0.018665
1,2024-10-22 00:15:00,-0.059553,0.034331,-0.009006
1,2024-10-22 00:16:00,-0.048812,0.054517,-0.004684
1,2024-10-22 00:17:00,-0.046467,0.102442,-0.003661
1,2024-10-22 00:18:00,-0.037817,0.111003,-0.020703
1,2024-10-22 00:19:00,-0.016542,0.080104,-0.037606
1,2024-10-22 00:20:00,0.019553,0.032074,-0.045838
1,2024-10-22 00:21:00,0.052439,-0.005343,-0.041288
1,2024-10-22 00:22:00,0.122891,0.007177,-0.036539
1,2024-10-22 00:23:00,0.12834,0.025298,-0.044001
1,2024-10-22 00:24:00,0.156208,0.065634,-0.032108
1,2024-10-22 00:25:00,0.181683,0.053759,-0.014823
1,2024-10-22 00:26:00,0.264414,-0.022294,0.017899
1,2024-10-22 00:27:00,0.236503,-0.057363,0.020953
1,2024-10-22 00:28:00,0.155623,-0.032498,6e-05
1,2024-10-22 00:29:00,0.051507,0.051013,-0.014661
1,2024-10-22 00:30:00,-0.038745,0.135533,-0.02715
1,2024-10-22 00:31:00,0.016578,0.115044,-0.01285
1,2024-10-22 00:32:00,0.066838,-0.040885,0.043248
1,2024-10-22 00:33:00,0.085563,-0.123076,0.068053
1,2024-10-22 00:34:00,0.060159,-0.113258,0.032612
1,2024-10-22 00:35:00,-0.012196,-0.082065,0.020316
1,2024-10-22 00:36:00,-0.080197,-0.027468,0.012294
1,2024-10-22 00:37:00,-0.111992,0.015271,0.007744
1,2024-10-22 00:38:00,-0.078881,0.0258,0.010098
1,2024-10-22 00:39:00,-0.073719,0.001225,0.024053
1,2024-10-22 00:40:00,-0.063185,-0.040311,0.012429
1,2024-10-22 00:41:00,-0.09309,-0.060396,-0.000573
1,2024-10-22 00:42:00,-0.100554,-0.048694,0.010042
1,2024-10-22 00:43:00,-0.085699,-0.042453,0.034707
1,2024-10-22 00:44:00,-0.016089,0.016955,0.036185
1,2024-10-22 00:45:00,0.030953,0.056138,0.053555
1,2024-10-22 00:46:00,0.011347,0.028261,0.115411
1,2024-10-22 00:47:00,-0.049814,-0.0164,0.148156
1,2024-10-22 00:48:00,-0.116959,-0.025654,0.12313
1,2024-10-22 00:49:00,-0.104787,0.000157,0.051611
1,2024-10-22 00:50:00,-0.120961,0.095442,-0.05331
1,2024-10-22 00:51:00,-0.158601,0.175834,-0.144475
1,2024-10-22 00:52:00,-0.121771,0.233495,-0.210521
1,2024-10-22 00:53:00,-0.042857,0.232129,-0.203559
1,2024-10-22 00:54:00,0.058078,0.194269,-0.147258
1,2024-10-22 00:55:00,0.124916,0.166115,-0.091207
1,2024-10-22 00:56:00,0.128944,0.148911,-0.054838
1,2024-10-22 00:57:00,0.115911,0.10525,-0.047395
1,2024-10-22 00:58:00,0.112375,0.043425,-0.034522
1,2024-10-22 00:59:00,0.10684,0.005069,-0.028102
1,2024-10-22 01:00:00,0.060969,0.010538,-0.024157
1,2024-10-22 01:01:00,0.005464,0.018133,-0.010667
1,2024-10-22 01:02:00,-0.027585,0.02888,-0.005571
1,2024-10-22 01:03:00,-0.042483,0.051248,0.008183
1,2024-10-22 01:04:00,-0.072336,0.051369,0.003702
1,2024-10-22 01:05:00,-0.102241,0.024919,-0.015701
1,2024-10-22 01:06:00,-0.108657,0.002647,-0.034945
1,2024-10-22 01:07:00,-0.09053,0.000453,-0.034816
1,2024-10-22 01:08:00,-0.074484,0.024839,-0.01978
1,2024-10-22 01:09:00,-0.054194,0.047066,-0.001507
1,2024-10-22 01:10:00,-0.010525,0.036239,0.004153
1,2024-10-22 01:11:00,0.022529,0.030802,0.003323
1,2024-10-22 01:12:00,0.026806,0.0361,0.00655
1,2024-10-22 01:13:00,0.022466,0.032868,0.019343
1,2024-10-22 01:14:00,0.017099,0.032857,0.026783
1,2024-10-22 01:15:00,0.010707,0.042437,0.034204
1,2024-10-22 01:16:00,0.00332,0.04784,0.021326
1,2024-10-22 01:17:00,0.008645,0.025532,0.001096
1,2024-10-22 01:18:00,0.008626,0.005356,-0.014902
1,2024-10-22 01:19:00,-0.003023,0.02245,-0.017141
1,2024-10-22 01:20:00,-0.011424,0.054429,-0.015105
1,2024-10-22 01:21:00,-0.002831,0.055511,-0.026796
1,2024-10-22 01:22:00,0.00999,0.039569,-0.046983
1,2024-10-22 01:23:00,0.013219,0.037461,-0.055503
1,2024-10-22 01:24:00,0.006813,0.041723,-0.050212
1,2024-10-22 01:25:00,0.004617,0.044858,-0.03314
1,2024-10-22 01:26:00,0.00556,0.036256,-0.013895
1,2024-10-22 01:27:00,0.006502,0.028714,0.006418
1,2024-10-22 01:28:00,0.00644,0.025476,0.017104
1,2024-10-22 01:29:00,0.006425,0.029707,0.024576
1,2024-10-22 01:30:00,0.001158,0.039334,0.019186
1,2024-10-22 01:31:00,-0.001942,0.048984,0.006333
1,2024-10-22 01:32:00,0.004512,0.051131,-0.003239
1,2024-10-22 01:33:00,-0.000913,0.04258,0.008485
1,2024-10-22 01:34:00,-0.017998,0.044749,0.013704
1,2024-10-22 01:35:00,-0.016902,0.050076,0.012636
1,2024-10-22 01:36:00,-0.008343,0.046884,0.004155
1,2024-10-22 01:37:00,0.000144,0.036202,0.004228
1,2024-10-22 01:38:00,0.001196,0.038307,0.009573
1,2024-10-22 01:39:00,0.006555,0.047859,0.013871
1,2024-10-22 01:40:00,0.012898,0.045664,0.024601
1,2024-10-22 01:41:00,0.012874,0.038215,0.022474
1,2024-10-22 01:42:00,0.013984,0.037189,0.0118
1,2024-10-22 01:43:00,0.010827,0.043604,0.008566
1,2024-10-22 01:44:00,0.008731,0.048951,0.005339
1,2024-10-22 01:45:00,0.008775,0.055355,0.002127
1,2024-10-22 01:46:00,0.006732,0.064993,-0.008582
1,2024-10-22 01:47:00,-0.004946,0.066146,-0.020416
1,2024-10-22 01:48:00,0.008875,0.062872,-0.012837
1,2024-10-22 01:49:00,0.036614,0.077629,0.002293
1,2024-10-22 01:50:00,0.030121,0.084997,0.030012
1,2024-10-22 01:51:00,0.003459,0.102075,0.044759
1,2024-10-22 01:52:00,0.003479,0.088299,0.026617
1,2024-10-22 01:53:00,0.008808,0.05008,-0.010685
1,2024-10-22 01:54:00,-0.006123,0.034222,-0.02786
1,2024-10-22 01:55:00,-0.018921,0.042759,-0.020483
1,2024-10-22 01:56:00,-0.024236,0.061892,-0.00559
1,2024-10-22 01:57:00,-0.034972,0.059748,0.007157
1,2024-10-22 01:58:00,-0.044674,0.038472,0.008184
1,2024-10-22 01:59:00,-0.04799,0.022466,0.017796
1,2024-10-22 02:00:00,-0.03735,0.027708,0.029614
1,2024-10-22 02:01:00,-0.015003,0.02864,0.043656
1,2024-10-22 02:02:00,0.010554,0.024264,0.050249
1,2024-10-22 02:03:00,0.028705,0.024213,0.047171
1,2024-10-22 02:04:00,0.052219,0.029474,0.043056
1,2024-10-22 02:05:00,0.061878,0.035858,0.036706
1,2024-10-22 02:06:00,0.066222,0.043338,0.027113
1,2024-10-22 02:07:00,0.052396,0.041303,0.015268
1,2024-10-22 02:08:00,0.040661,0.0371,0.010919
1,2024-10-22 02:09:00,0.035307,0.031797,0.00982
1,2024-10-22 02:10:00,0.035336,0.04031,0.011946
1,2024-10-22 02:11:00,0.028959,0.043537,0.00976
