user,time,x,y,z
3,2024-10-22 00:00:00,-0.006195,0.049012,0.003099
3,2024-10-22 00:01:00,-0.010477,0.046892,0.00414
3,2024-10-22 00:02:00,-0.010501,0.038383,0.000946
3,2024-10-22 00:03:00,-0.003062,0.033026,0.002073
3,2024-10-22 00:04:00,-0.004152,0.03513,0.00954
3,2024-10-22 00:05:00,-0.004119,0.043648,0.010598
3,2024-10-22 00:06:00,-0.001928,0.050058,0.004195
3,2024-10-22 00:07:00,-0.00731,0.041546,0.006305
3,2024-10-22 00:08:00,0.000182,0.035175,-0.005385
3,2024-10-22 00:09:00,0.005521,0.037283,-0.004282
3,2024-10-22 00:10:00,-0.00941,0.046888,0.004147
3,2024-10-22 00:11:00,-0.000913,0.044702,0.010619
3,2024-10-22 00:12:00,0.01076,0.031874,0.011785
3,2024-10-22 00:13:00,6.2e-05,0.02658,0.012785
3,2024-10-22 00:14:00,0.008636,0.032951,0.0107
3,2024-10-22 00:15:00,0.014003,0.036145,0.006461
3,2024-10-22 00:16:00,-0.006243,0.042603,0.007379
3,2024-10-22 00:17:00,0.004435,0.043635,0.006384
3,2024-10-22 00:18:00,0.007612,0.037237,0.005347
3,2024-10-22 00:19:00,-0.010496,0.04157,0.003078
3,2024-10-22 00:20:00,-0.006195,0.054317,0.008433
3,2024-10-22 00:21:00,-0.001961,0.05215,0.013806
3,2024-10-22 00:22:00,-0.008377,0.044733,0.009498
3,2024-10-22 00:23:00,-0.005152,0.046865,0.006313
3,2024-10-22 00:24:00,-0.006195,0.04689,0.000965
3,2024-10-22 00:25:00,-0.012611,0.043716,0.000924
3,2024-10-22 00:26:00,-0.007276,0.046881,0.004162
3,2024-10-22 00:27:00,-0.008348,0.044758,0.003089
3,2024-10-22 00:28:00,-0.007286,0.042628,0.002031
3,2024-10-22 00:29:00,-0.017907,0.048013,-0.003391
3,2024-10-22 00:30:00,-0.007267,0.046889,0.002026
3,2024-10-22 00:31:00,0.001283,0.046872,-0.001119
3,2024-10-22 00:32:00,-0.004061,0.043699,-0.002221
3,2024-10-22 00:33:00,0.00233,0.04579,0.002094
3,2024-10-22 00:34:00,0.000163,0.041524,0.005289
3,2024-10-22 00:35:00,0.002282,0.040443,0.007442
3,2024-10-22 00:36:00,0.003344,0.04574,0.013852
3,2024-10-22 00:37:00,0.002278,0.046805,0.014911
3,2024-10-22 00:38:00,-0.004076,0.047931,0.005251
3,2024-10-22 00:39:00,-0.007214,0.046936,-0.009725
3,2024-10-22 00:40:00,0.000307,0.046957,-0.021422
3,2024-10-22 00:41:00,0.003527,0.049085,-0.023539
3,2024-10-22 00:42:00,0.00566,0.051199,-0.021391
3,2024-10-22 00:43:00,-0.000789,0.049057,-0.012887
3,2024-10-22 00:44:00,-0.008353,0.04051,-0.00011
3,2024-10-22 00:45:00,-0.004172,0.03193,0.010612
3,2024-10-22 00:46:00,-0.007334,0.042586,0.012713
3,2024-10-22 00:47:00,-0.01794,0.051166,0.007287
3,2024-10-22 00:48:00,-0.024298,0.052288,-0.001305
3,2024-10-22 00:49:00,-0.023226,0.052289,-0.002366
3,2024-10-22 00:50:00,-0.015797,0.045862,-0.000169
3,2024-10-22 00:51:00,-0.007295,0.043681,0.005234
3,2024-10-22 00:52:00,-0.006224,0.044742,0.00524
3,2024-10-22 00:53:00,-0.008348,0.043697,0.002022
3,2024-10-22 00:54:00,-0.00941,0.042644,-0.00012
3,2024-10-22 00:55:00,-0.007276,0.044759,0.002028
3,2024-10-22 00:56:00,-0.010472,0.049018,0.005205
3,2024-10-22 00:57:00,-0.020064,0.051182,0.005135
